LAST_SALE_PRICE,SQFT,LOT_SIZE,BEDS,BATHS
412000,1010,6324,3,1
525000,1630,9384,3,1.5
325000,3280,17751,4,2.25
238500,1790,,4,1
375000,2050,7276,3,2.5
335000,,8320,1,1
427000,2720,9085,4,2.25
189000,1870,7234,3,2
329950,990,10500,3,1
399950,2650,7218,4,2
425000,1582,7650,3,1.75
250000,820,,3,1
576500,3198,9000,5,2.5
495000,2190,7276,4,1.75
406000,1570,7882,3,2
316500,780,7200,2,1
550000,2030,10138,4,2.5
610000,3780,8310,5,3.25
400000,1240,7085,3,1.75
417000,1330,7300,3,1.75
465000,1380,13003,3,2
363000,1410,7500,4,1
459950,2250,8012,4,2
430000,1480,8191,3,1.75
558001,2570,8507,4,2.25
426000,2350,8648,5,3
400000,2070,,3,1
385000,2010,8780,4,2.5
,1170,7050,2,1
344500,1050,7050,2,1.75
403000,2070,8006,3,1.75
276000,770,5731,2,1
335000,1730,6000,3,2
485000,2300,8589,4,2.25
412500,1580,10653,2,1.5
365000,2100,,6,2
416000,1200,7050,3,1.75
505500,2520,7201,4,2
343000,1720,7500,3,1
480000,1680,7440,3,1.75
430000,1830,7925,3,1.75
555000,2140,5698,4,2.5
245000,1060,6000,3,1
305000,1060,9210,2,1
305000,870,9060,2,1
293000,990,9744,2,1
384000,1950,7314,3,2.75
550000,2460,,6,2
530000,2340,7200,4,1.75
350000,1030,7340,3,1
680000,2574,6635,5,2.75
465000,1250,7616,3,1
405000,2258,13000,3,2.75
416500,1720,,3,1
635000,2530,9752,4,2.5
334000,,9196,4,1.75
395000,1920,7440,4,2.25
392000,2050,9621,3,2
385000,1290,7220,3,1.75
526000,2070,9450,4,2
427000,1250,7680,3,1.5
381536,1310,8651,3,1.75
530000,1883,7254,3,2.5
325000,1410,7260,3,1.75
440000,1800,6000,3,1.75
371350,2500,7200,6,3.75
460000,2820,11700,3,1.75
458000,2330,9051,4,2.25
301000,1540,8616,3,1.75
510000,1800,8887,4,2.25
375000,2120,7470,4,2
489950,3320,8642,5,1.75
264000,1530,,3,1
374900,2620,8109,3,2
491000,2250,9750,4,2.25
437000,1460,8433,3,2
418000,2140,5909,4,3
415000,1798,7454,3,1.75
376500,1310,7285,3,1.5
525000,2110,7450,4,1.75
376000,990,7560,3,1
371000,1630,7913,4,2
351500,940,7581,3,1
400000,1880,6130,4,1.5
310000,1630,8551,4,1.75
378500,1030,6645,3,1.5
363000,1100,7554,3,1
370000,2410,6272,4,1.25
391000,1570,7680,3,1.75
380000,1870,10122,3,2.5
425000,1700,8407,3,1.75
375000,1860,7523,3,1.75
330000,1030,6400,3,1
410000,1110,9140,2,1
267500,1100,7681,2,1
319950,940,7898,3,1
195000,630,7750,1,1
410000,2520,10330,3,1.75
295000,860,,3,1
367000,1240,9571,3,1.75
320000,1060,12858,3,1.5
281000,670,6000,2,1
420301,1840,,3,2
397950,1780,7330,3,1.75
307000,1060,7453,3,2
270000,830,6658,3,1
415000,1540,7592,3,1
414500,2150,12324,4,2
410000,1190,8128,3,1
487950,2500,10160,4,2
350000,2140,,5,1
325000,900,6950,3,1
279000,740,7781,2,1
400000,1420,7200,4,1
325000,1490,7634,3,1.5
315000,1180,8000,3,1.75
300000,1750,7561,3,1
325500,1380,8400,3,1
675000,2740,16453,5,3.25
430000,2260,7377,5,2.25
435000,1420,6120,3,2
341000,1130,7560,2,1.75
290000,1810,7200,4,1.75
376000,1470,8131,3,1.75
611750,2900,7999,5,2.5
225000,1150,8233,3,1.5
441000,1970,8485,4,1.75
382000,1297,7200,4,1
333000,1210,7125,3,1
270000,1300,7125,3,1
363000,1670,9000,3,2.75
359900,2300,6974,3,2.5
507500,1910,8166,3,2.25
350000,2200,,4,2.5
453000,2180,7882,4,1.5
319000,1000,6807,3,1
316000,770,8408,2,1
376500,1920,8160,4,1
505000,1600,9523,3,1.75
462000,1886,8410,3,1
305000,770,8408,2,1
578640,1980,9388,4,2.25
362500,1840,7540,3,1.75
290000,1980,6483,5,2.75
460000,3600,8167,5,3
269190,970,6368,2,1
275000,1000,7437,2,1
383000,1820,8408,3,1
291000,1698,8410,3,1
375012,1830,6960,3,1.5
485000,1900,8844,4,1.75
389000,1920,8164,3,1.75
373000,2170,9930,3,1
429950,2170,8163,3,1.75
350000,1450,7200,5,1.75
430000,1930,12983,3,1.75
555000,2062,9389,4,2.75
450000,1920,9390,4,2.25
329000,1480,9224,3,1
310000,740,7440,2,1
478100,2040,8060,3,2
445000,1810,7680,3,1.75
575000,1920,6458,3,3
355000,1130,8201,3,1
397886,1670,8515,3,1.75
507500,1460,8073,3,1.75
263500,830,10530,2,1
415000,2630,8204,5,2
301800,1000,6901,3,1
349950,1010,7440,3,1
510000,2230,5356,3,2.5
325000,1120,7573,4,1
330526,1000,8184,2,1
210000,1130,,2,1
383950,1750,8280,3,1.75
369000,1370,8184,3,1
480000,1180,8831,3,1.75
349950,2940,10351,3,1.75
350000,1140,9261,3,1
373200,1680,8144,3,1.75
375000,1520,6973,3,1
430000,1620,7326,3,1.75
320000,753,10380,2,1.5
540000,2720,20253,4,2.5
320000,1200,7378,3,1
324500,1050,6909,3,1.5
740000,2790,8139,4,2.25
280000,980,,2,1
325000,1170,7827,2,2.25
340000,1120,8209,3,1
385000,2440,8515,6,2.5
129400,980,,2,1
305000,1130,6267,2,1
495000,2140,7213,5,1.75
377000,1310,8156,4,2
416000,1240,9450,3,1
535000,1970,9553,3,1.75
364000,780,8109,2,1
284950,1220,11919,2,1
383000,980,7179,2,1.5
453000,2000,3397,4,3
277500,900,9212,2,1
446500,2220,8281,5,2.5
327000,1190,9509,3,2
395000,1080,7400,3,1
294000,1700,9114,3,1.5
445000,1780,11082,3,1.75
450000,1850,11449,3,1
338000,1450,8680,4,2
525000,2080,7800,4,2
361150,1220,8202,2,1
500000,2330,6749,4,2.5
470000,2120,8308,4,3
905000,3891,54123,4,3.5
455000,1610,7889,4,3
353500,1449,8298,4,2
345000,3640,,3,1
389500,1240,8108,3,0.75
385000,1426,7440,3,1.75
250000,1400,8460,4,2
332860,910,8108,3,1
621000,2598,15872,5,2.5
331000,1110,8184,2,1.75
384751,1240,8159,2,1.5
610000,2490,7642,5,3
380600,1040,8400,3,1
310000,1440,6600,3,1.5
340000,2420,8400,4,1.75
395000,1260,7440,2,1
350000,1120,7638,3,1
325000,1480,8108,4,1.75
256000,2740,8225,6,2.5
300000,1010,8184,2,1
388000,936,6381,2,1
428000,2400,8882,3,1.75
361500,1390,8064,3,1
396000,1840,7616,3,1.75
330000,1250,9009,4,1
333000,910,8205,2,1
262000,650,,2,1
635000,3100,7474,5,3.5
425000,1860,8063,3,2.25
334700,1010,7235,0,
433000,1580,8820,4,1.75
520000,2170,10883,3,2.25
398000,1200,7672,3,1
435000,1450,6901,3,1.75
538000,2700,8515,5,3
395000,1800,8285,5,1.75
349950,1030,7213,3,1
279000,720,8184,2,1
664400,2500,7100,4,2.5
360000,1230,,2,1
430000,2300,8245,4,2
530000,1840,10200,3,2.75
408000,1900,10351,3,1.75
505000,2068,8108,3,1.5
353000,1670,8131,3,1.75
400000,1460,8213,4,1
525000,2296,11238,4,2.75
530000,2220,6703,4,2.5
350000,1010,8184,2,1
239000,910,8108,1,1
449000,1700,8133,4,3
342000,1130,8211,3,1
321150,860,8108,2,1
378000,1320,12783,3,2
260000,980,,3,1
327100,1050,8311,2,1
411500,1380,9519,3,1.5
250000,1020,9519,2,1
375000,1580,9519,3,1
435000,1560,10350,3,1.75
590000,3360,14650,5,2.75
400000,2500,16443,3,1.5
423500,1880,14192,4,3.5
725000,2740,36679,4,2.5
465000,2440,6576,3,2.75
380000,1540,8149,2,1
410000,1990,,2,1
550000,3220,21207,4,1.75
344950,1430,6151,4,1.5
701500,3280,20207,5,3.5
341000,890,9112,2,1
341000,1340,8147,3,0.75
109950,2790,27690,3,1.75
310000,880,9344,3,1
340000,1230,10821,3,1
,920,24153,2,1
465000,1570,12675,5,2
435000,2650,21000,3,1.75
360000,800,9477,2,1
360000,2640,9516,5,2.75
290000,1100,8170,3,1.75
556000,2080,9519,4,3
420000,1530,9429,3,1.75
445000,1350,7273,3,1
700000,2220,64069,4,2.5
504000,2190,6555,4,2.5
390000,950,7200,2,1.75
650000,3285,14835,3,3.25
830000,5290,9026,5,4
720000,2665,8149,3,2.5
372060,1500,7617,3,1.5
388000,1530,8868,3,2
420000,1500,8623,3,2.25
644950,2963,7040,4,3.25
140000,2848,77972,5,2.5
696500,2890,33153,3,2.5
387000,2020,,4,1
375000,2240,8306,5,2.75
350000,1440,8100,4,1.5
555000,2250,9519,4,3
478500,1800,9519,3,2.25
414200,1230,12857,3,1
480000,1700,16810,4,1.75
308750,1570,,4,1
389900,1406,9415,4,2
325000,970,50965,3,1
845000,3440,25469,5,2.5
725000,3170,7800,4,2.5
553000,3720,5793,5,2.75
625000,2798,9496,4,1.75
2585000,3430,22837,4,2.5
,4000,25338,4,1.75
365000,780,6527,2,1
1350000,2980,6358,3,2.5
,2450,7997,3,2
815000,2210,,4,1
530571,2240,6527,3,1.75
717000,2650,11198,4,2
380000,2340,14130,3,1.75
602500,3420,16522,5,2.5
678000,2400,22578,4,2.5
760000,3880,22192,5,3.25
3250000,5430,37827,4,3
716000,2288,8644,4,2.25
775000,2480,11000,3,2.25
929000,3130,13240,5,3.25
1200000,3620,9806,5,3.25
715000,2370,7658,4,2.5
1130000,3603,21363,4,3.25
1100000,3370,8675,5,3.5
480000,1850,7110,5,1.75
685000,2770,11175,4,2.25
500000,2170,7219,5,1.75
547000,2530,,4,1.75
413171,2450,9783,4,2.5
525000,2270,11407,3,1.75
450000,1710,,3,1.75
605000,2990,17100,4,2.5
470000,3100,5800,6,3.25
575000,2340,26400,2,2.25
395000,1020,6873,2,1.75
410000,2310,14450,4,1.5
661000,2610,9834,4,2.25
550000,2050,10015,3,1.75
858500,3100,12002,5,2
925000,4310,8669,5,3.5
400000,1730,,3,1
420000,2440,7114,4,2.75
765000,2610,,4,2
409000,880,4575,1,1
875000,3950,10350,6,2.5
695000,2750,11359,6,2.75
1130000,3400,10800,4,2.75
