BEDS,BATHS,LOT_SIZE,LAST_SALE_PRICE,SQFT
3,2.5,5000,800000,3570
3,2.5,6000,260000,3670
2,1,9744,293000,990
3,1.75,6350,757000,2180
4,2,4000,725000,2610
5,2.25,5047,1187500,3280
6,2.75,7628,1010000,3000
5,3.25,22192,760000,3880
1,1,3060,520000,1180
4,2.5,8100,388000,2320
4,2.5,4056,699950,2751
3,1.5,3880,652000,2730
3,3,3422,629950,1720
3,2,4920,721088,2300
3,1,6380,707150,2310
4,2,11198,717000,2650
2,1,8160,407000,1640
4,1.75,9825,560000,1840
3,2.5,5250,921000,3200
5,3,12632,557500,2730
3,1.75,4000,827000,2070
4,2.25,7823,575000,2570
4,3.5,3755,1089000,3060
3,2.5,11070,836000,3870
4,2.5,3838,805000,2960
3,1.5,3680,591505,2400
5,4,9026,830000,7090
4,2.75,5000,635000,1960
4,3,8286,1700000,4660
5,2.5,9575,460000,2560
3,2.25,2402,553000,1790
5,2.75,14718,799950,1760
4,1.75,6233,530000,2110
3,1.75,4500,750000,1770
3,1.5,66129,700000,2630
5,3.75,5043,575000,2050
3,1.75,3060,552000,790
2,1.75,3500,725000,2750
